target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,0,2008,2008,3291.4728961341957,5.463759667032255,15.566054624186574,45.37758966384241,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,1,2009,2008,3821.91663749226,6.30807251908397,23.186974487099395,40.3944122953098,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,2,2010,2008,3849.762028049787,6.572903794986696,27.41321722533701,38.12267039166561,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,3,2011,2008,3830.837075189576,5.851190675834313,21.780399962088893,44.48443385027333,True,2013.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,0,2021,2021,4007.064900884842,4.567234030897338,12.230718055617164,53.0630545055709,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,1,2022,2021,4427.6201483670775,6.686581012000766,25.31840116343124,61.52664203338662,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,2,2023,2021,4366.647437775913,5.991909750641131,21.132882291119305,47.8097024080632,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,3,2024,2021,2164.0,5.99,11.0,57.7,True,2024.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,2,2020,2018,3802.571366487232,6.753695622341158,26.670817989063707,54.857275272574455,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,3,2021,2018,3678.435175680198,5.814672400569739,16.30762407415622,59.02872335530964,True,2023.0
BortBl00,Blake Bortles,TannRy00,Ryan Tannehill,comp,42.0,,4,0,2012,2012,3620.8990658059374,5.357792251262169,12.979361306568151,52.19815123613514,True,2015.0
BortBl00,Blake Bortles,TannRy00,Ryan Tannehill,comp,42.0,,4,1,2013,2012,4276.47609798449,5.1117637234161,25.78336683652003,56.76979805103661,True,2015.0
BortBl00,Blake Bortles,TannRy00,Ryan Tannehill,comp,42.0,,4,2,2014,2012,4475.374524838021,5.9482292968858514,28.81165981751065,65.05731438508924,True,2015.0
BortBl00,Blake Bortles,TannRy00,Ryan Tannehill,comp,42.0,,4,3,2015,2012,4455.971272540269,6.0176481840864975,25.43966789667897,43.28249145675212,True,2015.0
BortBl00,Blake Bortles,BortBl00,Blake Bortles,target,,,4,0,2014,2014,3418.1751708301413,3.8872647720643374,11.738083629356192,73.39498464021801,True,2018.0
BortBl00,Blake Bortles,BortBl00,Blake Bortles,target,,,4,1,2015,2014,4854.539408897631,6.2009268089825325,37.09951568265684,70.98328598907348,True,2018.0
BortBl00,Blake Bortles,BortBl00,Blake Bortles,target,,,4,2,2016,2014,4356.973061551508,5.314506543452397,24.2182638777521,60.59605692629891,True,2018.0
BortBl00,Blake Bortles,BortBl00,Blake Bortles,target,,,4,3,2017,2014,4085.278470432498,6.297621769383697,21.96688515635669,56.80234428227166,True,2018.0
BortBl00,Blake Bortles,FielJu00,Justin Fields,comp,,8.0,4,0,2021,2021,2308.472609566362,4.265434425331435,7.134585532443346,50.86517650829873,False,
BortBl00,Blake Bortles,FielJu00,Justin Fields,comp,,8.0,4,1,2022,2021,3403.15490513682,4.648478991826358,17.21651279113324,58.02261216883864,False,
BortBl00,Blake Bortles,FielJu00,Justin Fields,comp,,8.0,4,2,2023,2021,3227.609208312437,5.300535548644078,16.101243650376613,53.18956276395991,False,
BortBl00,Blake Bortles,FielJu00,Justin Fields,comp,,8.0,4,3,2024,2021,1395.0,5.86,5.0,54.8,False,
BortBl00,Blake Bortles,FreeJo00,Josh Freeman,comp,10.0,10.0,4,0,2009,2009,2100.0228784912497,3.803396665918276,11.041416422428282,72.94150245681739,False,
BortBl00,Blake Bortles,FreeJo00,Josh Freeman,comp,10.0,10.0,4,1,2010,2009,3962.990322992428,7.138646688138917,27.41321722533701,72.45832054574853,False,
BortBl00,Blake Bortles,FreeJo00,Josh Freeman,comp,10.0,10.0,4,2,2011,2009,3967.578690637122,4.886257476661636,17.424319969671114,67.53207924345116,False,
BortBl00,Blake Bortles,FreeJo00,Josh Freeman,comp,10.0,10.0,4,3,2012,2009,4343.012745406038,6.453937128671446,29.203562939778344,56.21339363891477,False,
BortBl00,Blake Bortles,MannEl00,Eli Manning,comp,,26.0,4,0,2004,2004,1138.7491686625751,3.342889103127569,6.863094497399268,71.11225927220427,False,
BortBl00,Blake Bortles,MannEl00,Eli Manning,comp,,26.0,4,1,2005,2004,4047.1070376626058,5.850962365591397,27.25633802816905,48.05295250572516,False,
BortBl00,Blake Bortles,MannEl00,Eli Manning,comp,,26.0,4,2,2006,2004,3429.6670625227634,5.175154039477027,27.06307809318188,32.75098967958469,False,
BortBl00,Blake Bortles,MannEl00,Eli Manning,comp,,26.0,4,3,2007,2004,3566.734228582613,4.988562813503916,25.75285032157472,50.69239929706181,False,
BortBl00,Blake Bortles,NewtCa00,Cam Newton,comp,31.0,,4,0,2011,2011,4927.877762757386,6.405514003018616,22.869419960193337,65.92122230736885,True,2015.0
BortBl00,Blake Bortles,NewtCa00,Cam Newton,comp,31.0,,4,1,2012,2011,4762.437858306812,6.812489191375416,20.55065540206624,63.27048634683048,True,2015.0
BortBl00,Blake Bortles,NewtCa00,Cam Newton,comp,31.0,,4,2,2013,2011,4083.823476851485,5.817187117247523,25.78336683652003,65.7334503748845,True,2015.0
BortBl00,Blake Bortles,NewtCa00,Cam Newton,comp,31.0,,4,3,2014,2011,3766.465337019326,5.560523099147151,19.207773211673768,71.86836895970148,True,2015.0
BortBl00,Blake Bortles,TrubMi00,Mitchell Trubisky,comp,,43.0,4,0,2017,2017,2487.444436599084,5.121254417936823,7.322295052118896,43.52242489211385,False,
BortBl00,Blake Bortles,TrubMi00,Mitchell Trubisky,comp,,43.0,4,1,2018,2017,3703.2677768652993,6.669539805450686,24.940963664729672,64.54912640864254,False,
BortBl00,Blake Bortles,TrubMi00,Mitchell Trubisky,comp,,43.0,4,2,2019,2017,3376.025442089123,5.090591276607446,17.551824063258167,47.31153744566024,False,
BortBl00,Blake Bortles,TrubMi00,Mitchell Trubisky,comp,,43.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,16.41281107019305,67.61478114991735,False,
