,PC1,PC2,PC3,PC4,PC5
Pass_Cmp,0.8166215137838888,-0.14594538653315606,0.47024183692874794,-0.12084323641741251,0.041558987179525185
Pass_Att,0.7415909885936439,-0.16408430458453377,0.5678202183885916,-0.1908747812539252,-0.05943243588259228
Pass_Cmp%,0.6200439741522015,-0.011157343452689974,-0.1473970783291063,0.17265725365742196,0.37526985097048376
Pass_Yds,0.9148084367540549,-0.1162512359665356,0.3230210033012876,-0.10962331727849756,-0.033969528822607814
Pass_TD,0.9101612484006777,0.03136450603070493,0.06512347248205556,-0.04785016811932724,-0.00616623579098988
Pass_TD%,0.7418325808239508,0.18022515896475796,-0.329742047006907,0.052877119085846185,0.03630653084031421
Pass_Int,0.04141241718536108,-0.24096554739311768,0.5035273819309203,-0.28186073658246397,-0.5322060902354846
Pass_Int%,-0.4809644612034392,-0.13921755812181333,0.16223330056260313,-0.15806793256770163,-0.5125168124275209
Pass_1D,0.8931847801289274,-0.12605610872157144,0.35784609794370487,-0.09506097763706603,-0.02668191210842603
Pass_Succ%,0.834262877544006,-0.04887639891003446,-0.23327194182337993,0.1382264705894179,-0.017421076936612642
Pass_Lng,0.35909165133740134,-0.06926946553718687,-0.1496324738661522,-0.09169127530752363,-0.10920877838540995
Pass_Y/A,0.7488180787985056,0.07032660751724412,-0.44555828654335494,0.1359725231196519,0.05578724453693185
Pass_AY/A,0.8307188118549865,0.14069750649781737,-0.4239061156078029,0.156616179428399,0.2248144946693307
Pass_Y/C,0.3642301460294572,0.10924631037700587,-0.3918814748123285,0.025520566860189862,-0.24705703098591247
Pass_Y/G,0.8153177022613384,-0.22537649730033812,-0.01750981781977988,0.015740420890817675,0.01640968724586289
Pass_Rate,0.8418755764619708,0.13172785151995187,-0.3471261589254549,0.1617731056814096,0.31283560367308716
Pass_QBR,0.8106658900272434,0.16589027202754048,-0.3132148656641396,0.04135783024764647,-0.056829961181641256
Pass_Sk,0.06021694415841436,0.22075945080970016,0.5439793100111994,-0.2585316379660581,0.6399695460699436
Pass_Yds.1,0.035925720526507526,0.15018880347179786,0.5609911261600381,-0.20128728058461565,0.6413611222368628
Pass_Sk%,-0.5038350973681867,0.31391133878502003,0.09099514969757047,-0.07112708032369755,0.602907303289856
Pass_NY/A,0.8290194984607168,-0.034865265043972436,-0.4293994833441396,0.13753724116364405,-0.17357426838553852
Pass_ANY/A,0.8822297641619348,0.06243684481777671,-0.41883901538718865,0.15554392717936602,0.05872140118505228
Pass_4QC,0.32341539045895773,0.06499532610386784,0.22227937929100827,-0.07863089678663913,-0.08072324385029309
Pass_GWD,0.3620735404017929,0.045322330311055974,0.22949482552519143,-0.0769920596191691,-0.14985232784172833
Pass_AV,0.8880925292881143,0.33453306869139365,0.011935624118850095,-0.06283727305200852,-0.03703098658280986
Rush_Unnamed: 1_level_0_Age,0.3093041373371504,-0.44305665230442964,-0.07633217488451793,0.07008036028565863,0.1274822756807259
Rush_Unnamed: 5_level_0_G,0.6666815349267987,0.06400569007791243,0.5708119396999343,-0.22205635400827187,-0.07420048749109516
Rush_Unnamed: 6_level_0_GS,0.6986547313816062,0.05406495749561978,0.557985883899094,-0.2066565733568801,-0.06744873610615765
Rush_Rushing_Att,0.10827245014121521,0.9295588748489358,0.03548987839004197,-0.14695916852487034,-0.13361463971570095
Rush_Rushing_Yds,0.017022792495797287,0.9616096155279316,-0.015050996377522573,-0.1649414954241397,-0.04583062318709433
Rush_Rushing_TD,0.08582221225115359,0.7640391469622683,0.05819636595775559,-0.0016189768333769415,-0.2737931827852067
Rush_Rushing_1D,0.06897857213293573,0.9477823898145108,0.02769043193134928,-0.13629062555683957,-0.12057291696807515
Rush_Rushing_Succ%,-0.19091416436205205,0.6652594721101949,-0.08494631870932896,-0.029972376257871025,0.15144388136816034
Rush_Rushing_Lng,-0.11147566733603154,0.7737902133449187,0.03968503334455579,0.012190817622482891,0.04121486024335963
Rush_Rushing_Y/A,-0.18541364339799116,0.7707374801615572,-0.03600140994123834,-0.07824663239674172,0.2196388452097548
Rush_Rushing_Y/G,-0.08958823813336214,0.9497457507461718,-0.10077229753108624,-0.13533129956077278,-0.03899964282048833
Rush_Rushing_A/G,-0.050585118278233955,0.924384744198122,-0.09955168787599014,-0.10197129533692509,-0.11707878101983124
Rush_Receiving_Tgt,-0.0012794191457350496,0.15703857698930293,0.28970077861154386,0.6662122716505191,-0.010312268219863212
Rush_Receiving_Rec,0.06762714489302805,0.1637580029346651,0.3498555759251025,0.7815110769219475,-0.0008934931058255184
Rush_Receiving_Yds,-0.07447265175062906,0.2532955820429741,0.22826536333086583,0.6690714802055809,-0.06988197138378947
Rush_Receiving_TD,0.04400249643422485,0.19919098517580455,0.17305752023948867,0.6095056926311333,-0.06858699262286905
Rush_Receiving_1D,-0.026504974245237036,0.20949770664380324,0.27861464101341715,0.8197010362297247,-0.04180345642380492
Rush_Receiving_R/G,0.07057946976171008,0.15038465976184082,0.33474045475089964,0.7754371657530713,0.010412561381132484
Rush_Receiving_Y/G,-0.09492262573654467,0.24488033442489152,0.22192748439069634,0.6812429221253629,-0.05406300197337062
Rush_Scrimmage_Touch,0.10896702347204762,0.9306432302530705,0.0395528518294534,-0.13768069288173934,-0.1335054644742853
Rush_Scrimmage_Y/Tch,-0.19165050122138388,0.7732030481834848,-0.029868904988445542,-0.054397922018023064,0.21746316059445508
Rush_Scrimmage_YScm,0.015180591385886191,0.964689903007266,-0.009520480561020738,-0.1483534196814717,-0.04736616339923971
Rush_Scrimmage_RRTD,0.08754063734410072,0.7654029671584248,0.06972651247526944,0.042519023661332395,-0.27407977361118707
total_yards,0.9116134865714429,0.10984785795342951,0.31696068086090423,-0.14738821536301996,-0.04443532806709735
